Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
36131,-0.00,0.99,0.00,30.27,2.45,0.79,0.29
36236,0.04,1.01,0.00,30.37,2.37,0.73,-0.03
36340,0.04,1.00,0.01,30.18,2.26,0.71,-0.04
36445,0.00,1.00,0.01,30.32,2.34,0.72,0.05
36549,0.03,1.00,0.00,30.22,2.19,0.71,0.04
36654,0.01,1.00,0.01,30.27,2.20,0.70,0.20
36758,-0.02,0.99,0.00,30.32,2.36,0.73,0.05
36862,0.02,1.01,0.01,30.32,2.19,0.69,0.03
36967,-0.01,0.99,-0.01,30.18,2.25,0.80,0.05
37071,0.04,1.00,-0.00,30.32,2.19,0.64,0.11
37176,0.01,1.01,0.00,30.32,2.33,0.90,0.19
37281,0.04,1.02,0.01,30.27,2.13,0.62,0.05
37386,0.04,1.01,0.00,30.27,2.27,0.69,0.12
37490,0.03,1.01,0.00,30.32,2.34,0.82,0.01
37595,0.03,1.01,0.01,30.27,2.10,0.69,0.20
37699,0.00,1.00,0.01,30.27,2.27,0.83,-0.02
37804,0.03,1.00,0.00,30.32,2.19,0.61,-0.06
37908,0.02,1.00,-0.00,30.32,2.14,0.66,0.00
38012,0.00,1.00,0.00,30.27,2.15,0.76,0.06
38117,0.02,0.99,-0.00,30.27,2.22,0.81,0.05
38221,-0.01,0.99,0.01,30.32,2.37,0.61,0.03
38326,0.01,0.99,0.00,30.32,2.26,0.79,0.07
38431,0.03,1.01,0.00,30.32,2.20,0.78,0.02
38536,0.00,1.00,0.00,30.27,2.38,0.70,0.13
38640,-0.01,0.99,0.01,30.27,2.31,0.65,0.13
38745,0.04,1.00,-0.00,30.32,2.24,0.66,0.18
38849,-0.00,0.99,0.00,30.32,2.22,0.76,-0.02
38953,0.02,1.00,0.00,30.22,2.21,0.74,0.26
39058,0.04,1.01,0.01,30.27,2.32,0.53,0.02
39162,-0.00,0.99,-0.00,30.37,2.35,0.76,0.05
39267,0.02,1.00,-0.00,30.27,2.27,0.74,0.21
39371,-0.00,0.99,-0.00,30.32,2.30,0.76,0.15
39477,0.00,0.99,0.00,30.22,2.26,0.91,-0.03
39581,0.01,1.00,0.00,30.32,2.40,0.76,0.13
39686,0.01,1.00,-0.00,30.37,2.31,0.76,0.19
39790,0.04,1.01,0.01,30.27,2.42,0.63,-0.03
39895,0.02,1.00,0.01,30.32,2.27,0.74,0.12
39999,0.03,1.01,0.01,30.41,2.30,0.66,0.11
40103,0.03,1.01,0.00,30.32,2.33,0.76,0.29
40208,0.00,1.00,0.01,30.27,2.24,0.66,0.23
40312,0.04,1.01,-0.00,30.37,2.31,0.79,-0.01
40417,0.03,1.01,0.00,30.37,2.27,0.64,0.07
40521,0.01,0.99,-0.00,30.22,2.35,0.68,0.18
40627,0.02,1.00,0.01,30.27,2.34,0.85,0.16
40731,0.01,1.01,0.01,30.27,2.39,0.66,0.01
40836,0.02,1.00,-0.00,30.18,2.27,0.69,0.11
40940,0.03,1.01,-0.01,30.32,2.19,0.86,0.02
41044,0.04,1.00,0.01,30.32,2.15,0.66,0.10
41149,0.04,1.00,0.00,30.27,2.22,0.92,-0.01
41253,0.03,1.01,-0.00,30.37,2.27,0.76,0.10
41358,-0.00,0.99,0.00,30.27,2.29,0.79,0.10
41462,-0.01,0.99,-0.00,30.32,2.07,0.73,0.18
41567,0.04,1.01,0.00,30.37,2.21,0.74,-0.02
41672,-0.01,0.99,0.00,30.18,2.42,0.74,-0.11
41777,-0.01,1.00,0.01,30.27,2.17,0.85,-0.06
41881,-0.00,1.00,0.00,30.32,2.36,0.80,0.27
41986,0.05,1.01,0.00,30.41,2.34,0.89,0.09
